family,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Synergistaceae,11,FALSE,FALSE,FALSE,FALSE
Tannerellaceae,11,FALSE,FALSE,FALSE,FALSE
Terrimicrobiaceae,11,FALSE,FALSE,FALSE,FALSE
uncultured,11,FALSE,FALSE,FALSE,FALSE
uncultured bacterium,7,FALSE,FALSE,FALSE,FALSE
uncultured Parcubacteria group bacterium,11,FALSE,FALSE,FALSE,FALSE
uncultured Sphingobium sp.,11,FALSE,FALSE,FALSE,FALSE
unidentified,11,FALSE,FALSE,FALSE,FALSE
Unknown Family,11,FALSE,FALSE,FALSE,FALSE
Veillonellaceae,8,FALSE,FALSE,FALSE,FALSE
Vermiphilaceae,11,FALSE,FALSE,FALSE,FALSE
Vibrionaceae,11,FALSE,FALSE,FALSE,FALSE
Weeksellaceae,13,FALSE,FALSE,FALSE,FALSE
Xanthobacteraceae,154,TRUE,TRUE,TRUE,TRUE
Xanthomonadaceae,153,TRUE,TRUE,TRUE,TRUE
Undefined Family,115,FALSE,FALSE,TRUE,TRUE
